year,period,TE-TOZagreb,EL-TOZagreb,TE-TOOsijek,general_demand,Industry_HT
2020,1,5.185517274,3.935875576,1.16860715,128.62,741.5397191
2020,2,3.537641522,2.685116282,0.797242196,87.79,740.9476347
2020,3,3.129452116,2.375295173,0.705252711,77.58,704.4743122
2020,4,2.056065158,1.560580403,0.463354438,51.04,752.5678995
2020,5,359.6703002,272.9944719,81.05522789,5826.72,670.1198462
2020,6,357.9518732,271.6901633,80.66796352,5773.2,640.2869071
2020,7,372.3493687,282.6180511,83.91258026,6036.8,619.1466752
2020,8,382.0098513,289.950484,86.08966472,6360.69,804.3529071
2020,9,353.2702935,268.1367829,79.61292364,5981.3,723.3794079
2020,10,314.0236379,238.348057,70.76830509,5499.44,786.1286194
2020,11,285.7678601,216.9015513,64.40058858,5268.99,778.2768857
2020,12,266.5224855,202.2940597,60.06345476,5034.5,787.5684439
2020,13,260.1980694,197.493745,58.63818559,4959.99,794.7152469
2020,14,269.2084726,204.3327591,60.66876827,5102.87,781.056061
2020,15,296.2799972,224.8804011,66.76960171,5269.67,760.5956637
2020,16,321.2551416,243.8368631,72.39799533,5430.34,695.5276119
2020,17,341.2866588,259.0410471,76.91229409,5760.54,735.7078156
2020,18,358.2290388,271.9005356,80.73042552,6116.54,735.334669
2020,19,373.6848032,283.6316633,84.21353351,6607.68,738.6632467
2020,20,374.581812,284.3125048,84.41568324,6754.65,751.3335328
2020,21,366.9622764,278.5291774,82.69854621,6668.83,745.9012189
2020,22,362.9509336,275.4845156,81.79455078,6720.83,700.4726342
2020,23,354.2680898,268.8941234,79.83778682,6655.29,772.6057941
2020,24,7.286936811,5.530880547,1.642182642,180.69,772.3553365
2020,25,5.185517274,3.935875576,1.16860715,128.62,851.7173119
2020,26,3.537641522,2.685116282,0.797242196,87.79,844.837199
2020,27,3.129452116,2.375295173,0.705252711,77.58,809.8401964
2020,28,2.056065158,1.560580403,0.463354438,51.04,860.2656145
2020,29,333.6671232,253.2577198,75.19515705,6759.01,760.8752471
2020,30,333.0523194,252.7910756,75.05660499,6939.91,732.2088771
2020,31,352.4841509,267.5400904,79.4357587,7372.04,693.5433916
2020,32,347.505248,263.7610379,78.31371413,7737.68,889.9199652
2020,33,312.8494635,237.4568432,70.50369336,7310.79,816.488595
2020,34,288.826761,219.2232971,65.08994187,6830.85,861.5850422
2020,35,276.2635981,209.6876919,62.25870997,6546.39,857.9141339
